Field	en	af	my	et	et-placeholders	et	et-placeholders	fi	fi-placeholders	fi	fi-placeholders	fi	fi-placeholders	fr	fr-placeholders	fr	fr-placeholders	fr	fr-placeholders	he	he-placeholders	he	he-placeholders	it	it-placeholders	it	it-placeholders	jv	es	es-placeholders	es	es-placeholders	sw	th	uk	uk-placeholders	uk	uk-placeholders	uk	uk-placeholders	uk	uk-placeholders	qu	qu-placeholders	ur	ur-placeholders	ur	ur-placeholders	eu	ar	bg	bg-placeholders	bg	bg-placeholders	bg	bg-placeholders	bn	nl	nl-placeholders	nl	nl-placeholders	zh	de	de-placeholders	de	de-placeholders	de	de-placeholders	ka	hi	hi-placeholders	hi	hi-placeholders	ht	id	ru	ru-placeholders	ru	ru-placeholders	ru	ru-placeholders	ru	ru-placeholders	ru	ru-placeholders	ru	ru-placeholders	ru	ru-placeholders	ru	ru-placeholders	ja	ja-placeholders	ja	ja-placeholders	ta	ta-placeholders	ta	ta-placeholders	ta	ta-placeholders	ta	ta-placeholders	kk	fa	fa-placeholders	fa	fa-placeholders	fa	fa-placeholders	ko	pl	pl-placeholders	pl	pl-placeholders	pl	pl-placeholders	pl	pl-placeholders	pl	pl-placeholders	pl	pl-placeholders	hu	hu-placeholders	hu	hu-placeholders	pt	pt-placeholders	pt	pt-placeholders	ms	az	el	el-placeholders	el	el-placeholders	el	el-placeholders	gu	ha	lt	lt-placeholders	lt	lt-placeholders	lt	lt-placeholders	ml	mr	mr-placeholders	mr	mr-placeholders	mr	mr-placeholders	pa	pa-placeholders	pa	pa-placeholders	tl	te	tr	tr-placeholders	tr	tr-placeholders	vi	vi-placeholders	vi	vi-placeholders	vi	vi-placeholders	vi	vi-placeholders	wo	yo	yo-placeholders	yo	yo-placeholders
Name	A is COMP than B. Who is more / less COMP?																																																																																																																																																																																
Capability	Vocabulary																																																																																																																																																																																
Context	{first_name} is {adj[0]} than {first_name1}.	{first_name} is {adj[0]} as {first_name1}.	{first_name} သည် {first_name1} ထက် {adj[0]} ပါသည်။	{first_name} on {adj[0]} kui {first_name1}.				{first_name} on {adj[0]} kuin {first_name1}.						{first_name} est {adj[0]} que {first_name1}.						{first_name} {adj[0]} מ{first_name1}.				{first_name} è {adj[0]} di {first_name1}.				{first_name} {adj[0]} tinimbang {first_name1}.	{first_name} es {adj[0]} que {first_name1}.				{first_name} ni {adj[0]} kumliko {first_name1}.	{first_name} {adj[0]}กว่า {first_name1}	{first_name} {adj[0]} ніж {first_name1}.								{first_name}qa {adj[0]} {first_name1}mantaqa.		‏{first_name} {first_name1} سے {adj[0]} ہے۔				{first_name} {first_name1} baino {adj[0]} da.	{first_name} {adj[0]} من {first_name1}.	{first_name} e {adj[0]} от {first_name1}.						{first_name} {first_name1} এর চেয়ে {adj[0]}৷	{first_name} is {adj[0]} dan {first_name1}.				{first_name}比{first_name1}{adj[0]}。	{first_name} ist {adj[0]} als {first_name1}.						{first_name} არის {adj[0]}, ვიდრე {first_name1}.	{first_name}, {first_name1} से {adj[0]} है।				{first_name} {adj[0]} pase {first_name1}.	{first_name} adalah {adj[0]} dibandingkan {first_name1}.	{first_name} {adj[0]}, чем {first_name1}.																{first_name}は{first_name1}より{adj[0]}です。				{first_name1} ஐ விட {first_name} {adj[0]}.								{first_name} деген кісі {first_name1} деген кісіге қарағанда {adj[0]}.	{first_name} {adj[0]} از {first_name1} است.						{first_name}은(는) {first_name1}보다 {adj[0]} 사람입니다.	{first_name} jest {adj[0]} niż {first_name1}.												{first_name} {adj[0]}, mint {first_name1}.				{first_name} é {adj[0]} que {first_name1}.				{first_name} adalah {adj[0]} daripada {first_name1}	{first_name} {first_name1}dən {adj[0]}	Ο {first_name} είναι {adj[0]} από τον {first_name1}.						{first_name} કરતાં {first_name1} {adj[0]} છે.	{first_name} na da {adj[0]} fiye da {first_name1}.	{first_name} yra {adj[0]} negu {first_name1}.						{first_name1} നേക്കാൾ {adj[0]} ആണ് {first_name}.	{first_name} हा {first_name1} पेक्षा {adj[0]} आहे.						{first_name} {first_name1} ਨਾਲੋਂ ਜਿਆਦਾ {adj[0]} ਹੈ।				Si {first_name} ay mas {adj[0]} kaysa kay {first_name1}.	{first_name1} కంటే {first_name} {adj[0]}	{first_name}, {first_name1}'den {adj[0]}.				{first_name} {adj[0]} hơn {first_name1}.								{first_name} moo gëna {adj[0]} {first_name1}.	{first_name} jẹ́ {adj[0]} ju {first_name1}.			
Question	Who is less {adj[1]}?	Wie is minder {adj[1]}?	မည်သူသည် {adj[1]} လျှော့နည်းသနည်း။	Kes on vähem {adj[1]}?				Kuka on vähemmän {adj[1]}?						Qui est moins {adj[1]}?						מי פחות {adj[1]}?				Chi è meno {adj[1]}?				Sapa sing kurang {adj[1]}?	¿Cuál es menos {adj[1]}?				Nani si {adj[1]} zaidi?	ใคร{adj[1]}น้อยกว่า	Хто менш {adj[1]}?								¿Pitaq as {adj[1]}?		کون کم {adj[1]} ہے؟				Zein ez da bestea bezain {adj[1]}?	مَن أقل {adj[1]}؟	Кой е по-малко {adj[1]}?						কে কম {adj[1]}?	Wie is minder {adj[1]}?				谁更{adj[1]}？	Wer ist weniger {adj[1]}?						ვინ არის ნაკლებ {adj[1]}?	कौन कम {adj[1]} है?				Kiyès ki mwens {adj[1]}?	Siapa yang kurang dari {adj[1]}?	Кто менее {adj[1]}?	tougher, cooler, nicer, stranger	Кто {adj[1]}?	older, smarter, younger, taller, shorter, weaker, stronger, smaller, wiser, greater, faster, slower, higher, richer, darker, cleaner													どちらの方が{adj[1]}くないですか。	faster, fast, slower, slow	どちらの方が{adj[1]}でないですか。	older, old, smarter, smart, taller, tall, younger, young, stronger, strong, shorter, short, tougher, tough, cooler, cool, faster, fast, nicer, nice, smaller, small, darker, dark, wiser, wise, richer, rich, greater, great, weaker, weak, higher, high, slower, slow, stranger, strange, cleaner, clean	யார் குறைவான {adj[1]}?	older, old, smarter, smart, taller, tall, younger, young, stronger, strong, cooler, cool, faster, fast, wiser, wise, richer, rich, greater, great, weaker, weak, higher, high, slower, slow, stranger, strange, cleaner, clean	யார் {adj[1]}?	shorter, short, smaller, small	யார் குறைந்த {adj[1]}?	touger, tough	யார் சற்றே {adj[1]}?	nicer, nice, darker, dark	Кім {adj[1]} емес?	چه کسی کمتر {adj[1]} است؟						누가 덜 {adj[1]} 사람입니까?	Kto jest mniej {adj[1]}?												Ki a kevésbé {adj[1]}?	smarter, smart, touger, tough, cooler, cool, faster, fast, nicer, nice, wiser, wise, richer, rich, greater, great, stranger, strange, cleaner, clean	Ki a(z) {adj[1]}?	older, old, taller, tall, younger, young, stronger, strong, shorter, short, smaller, small, darker, dark, higher, high, slower, slow,	Quem é menos {adj[1]}?	older, old, smarter, smart, taller, tall, younger, young, stronger, strong, shorter, short, touger, tough, cooler, cool, faster, fast, nicer, nice, darker, dark, wiser, wise, richer, rich, greater, great, weaker, weak, higher, high, slower, slow, stranger, strange, cleaner, clean	Quem é {adj[1]}?	smaller, small	Siapakah yang kurang {adj[1]}?	Kim daha az {adj[1]}?	Ποιος είναι λιγότερο {adj[1]};						કોણ ઓછો {adj[1]} છે?	Wa ke ƙasa a {adj[1]}?	Kuris yra mažiau {adj[1]}?						ആരാണ് കുറഞ്ഞ {adj[1]}?	कोण कमी {adj[1]} आहे?						ਘੱਟ {adj[1]} ਕੌਣ ਹੈ?				Sino ang hindi gaanong {adj[1]}?	ఎవరు తక్కువ {adj[1]}గా ఉన్నారు?	Kim daha {adj[1]}?				Ai ít {adj[1]} hơn?								Kan moo yées {adj[1]}?	Taani ó kéré {adj[1]}?			
Answer	{first_name1}	{first_name1}	{first_name1}	{first_name1}				{first_name1}						{first_name1}						{first_name1}				{first_name1}				{first_name1}	{first_name1}				{first_name1}	{first_name1}	{first_name1}								{first_name1}mantaqa		{first_name1}				{first_name1}	{first_name1}	{first_name1}						{first_name1}	{first_name1}				{first_name1}	{first_name1}						{first_name1}	{first_name1}				{first_name1}	{first_name1}	{first_name1}																{first_name1}				{first_name1}								{first_name1}	{first_name1}						{first_name1}	{first_name1}												{first_name1}				{first_name1}				{first_name1}	{first_name1}dən	{first_name1}						{first_name1}	{first_name1}	{first_name1}						{first_name1}	{first_name1}						{first_name1}				Si {first_name1}	{first_name1}	{first_name1}'den				{first_name1}								{first_name1}	{first_name1}			
Question	Who is {adj[0]}?	Wie is {adj[0]}?	မည်သူသည် {adj[0]} သနည်း။	Kes on {adj[0]}?				Kuka on {adj[0]}?						Qui est {adj[0]}?						מי {adj[0]}?				Chi è {adj[0]}?				Sapa sing {adj[0]}?	¿Cuál es {adj[0]}?				Ni nani {adj[0]}?	ใคร{adj[0]}	Хто {adj[0]}?								¿Pitaq {adj[0]}?		کون {adj[0]} ہے؟				Nor da {adj[0]}?	مَن {adj[0]}؟	Кой е {adj[0]}?						কে {adj[0]}?	Wie is {adj[0]}?				{adj[0]}的是谁？	Wer ist {adj[0]}?						ვინ არის {adj[0]}?	कौन {adj[0]} है?				Kiyès ki {adj[0]}?	Siapa {adj[0]}?	Кто {adj[0]}?																どちらの方が{adj[0]}いですか。	faster, fast, slower, slow	どちらの方が{adj[0]}ですか。	older, old, smarter, smart, taller, tall, younger, young, stronger, strong, shorter, short, tougher, tough, cooler, cool, faster, fast, nicer, nice, smaller, small, darker, dark, wiser, wise, richer, rich, greater, great, weaker, weak, higher, high, slower, slow, stranger, strange, cleaner, clean	யார் {adj[0]}?								Кім {adj[0]}?	چه کسی {adj[0]} است؟						누가 {adj[0]} 사람입니까?	Kto jest {adj[0]}?												Ki a(z) {adj[0]}?				Quem é {adj[0]}?				Siapakah {adj[0]}?	Kim {adj[0]}?	Ποιος είναι {adj[0]};						કોણ {adj[0]} છે?	Wa ke da {adj[0]}?	Kuris yra {adj[0]}?						ആരാണ് {adj[0]}?	कोण {adj[0]}आहे?						ਜਿਆਦਾ {adj[0]} ਕੌਣ ਹੈ?				Sino ang {adj[0]}?	ఎవరు {adj[0]}?	Kim {adj[0]}?				Ai {adj[0]}?								Kan moo {adj[0]}?	Taani {adj[0]}?			
Answer	{first_name}	{first_name}	{first_name}	{first_name}				{first_name}						{first_name}						{first_name}				{first_name}				{first_name}	{first_name}				{first_name}	{first_name}	{first_name}								{first_name}qa		{first_name}				{first_name}	{first_name}	{first_name}						{first_name}	{first_name}				{first_name}	{first_name}						{first_name}	{first_name}				{first_name}	{first_name}	{first_name}																{first_name}				{first_name}								{first_name}	{first_name}						{first_name}	{first_name}												{first_name}				{first_name}				{first_name}	{first_name}	{first_name}						{first_name}	{first_name}	{first_name}						{first_name}	{first_name}						{first_name}				Si {first_name}	{first_name}	{first_name}				{first_name}								{first_name}	{first_name}			
adj	older, old	ouer, oud	ပို၍အသက်ကြီးသော၊ အသက်ကြီးသော	vanem, vana				vanhempi, vanha						plus âgé, âgé						זקן יותר, זקן				più vecchio, vecchio				luwih tuwa, tuwa	mayor, viejo				mkubwa zaidi, mkubwa	แกกว่า แก่	старший, старий								aswan yuyayniyuqmi, yuyayniyuq		بڑا، بڑا				zaharragoa, zaharra	أكبر، كبير	по-стар, стар						বেশি বয়স্ক, বয়স্ক	ouder, oud				更年长，年轻	älter, alt						უფროსი, ასაკოვანი	आयु में अधिक बड़ा, आयु में बड़ा				pi gran, granmoun	lebih tua, tua	старше, моложе																年長, 年長				வயதானவர், வயதுடையவர்								үлкенірек, үлкен	پیرتر، پیر						더 나이든, 나이든	starszy, stary												idősebb, fiatalabb				mais velho, velho				lebih tua, tua	daha yaşlıdır, yaşlıdır	μεγαλύτερος, μεγάλος						વધુ મોટો, મોટો	tsufa, tsoho	senesnis, senas						പ്രായമേറിയത്, പ്രായമായത്	अधिक जुना, जुना						ਵੱਡਾ, ਵੱਡਾ				mas matanda, matanda	పెద్దవారు, పెద్దవారు	daha yaşlı, yaşlı				lớn tuổi hơn, lớn tuổi								gëna maggat, maggat	dàgbà-jù, dàgbà			
adj	smarter, smart	slimmer, slim	ပို၍ပါးနပ်သော၊ ပါးနပ်သော	nutikam, nutikas				älykkäämpi, älykäs						plus intelligent, intelligent						פיקח יותר, פיקח				più intelligente, intelligente				luwih pinter, pinter	más inteligente, inteligente				nadhifu zaidi, nadhifu	ฉลาดกว่า ฉลาด	розумніший, розумний								aswan yachaqmi, yachaq		زیادہ ہوشیار، ہوشیار				azkarragoa, azkarra	أذكى، ذكي	по-умен, умен						বেশি স্মার্ট, স্মার্ট	slimmer, slim				更聪明，笨	intelligenter, intelligent						უფრო ჭკვიანი, ჭკვიანი	अधिक चतुर, चतुर				pi entèlijan, entèlijan	lebih pintar, pintar	умнее, глупее																利口, 利口				மதிநுட்பமானவர், மதிநுட்பமானவர்								ақылдырақ, ақылды	باهوش‌تر، باهوش						더 스마트한, 스마트한	bardziej inteligentny, inteligentny												okosabb, okos				mais esperto, esperto				lebih pintar, pintar	daha ağıllıdır, ağıllıdır	εξυπνότερος, έξυπνος						વધુ હોંશિયાર, હોંશિયાર	mafi azanci, mai azanci	sumanesnis, sumanus						സാമർത്ഥ്യമുള്ളത്, സമർത്ഥം	अधिक चलाख, चलाख						ਤੇਜ਼, ਤੇਜ਼				mas matalino, matalino	చురుకైనవారు, చురుకు	daha zeki, zeki				sáng dạ hơn, sáng dạ								gëna muus, muus	yára-jù, yára			
adj	taller, tall	langer, lank	ပို၍ရှည်သော၊ ရှည်သော	pikem, pikk				pidempi, pitkä						plus grand, grand						גבוה יותר, גבוה				più alto, alto				luwih dhuwur, dhuwur	más alto, alto				mrefu zaidi, mrefu	สูงกว่า สูง	довший, довгий								aswan hatun, hatun		لمبا، لمبا				altuagoa, altua	أطول، طويل	по-висок, висок						বেশি লম্বা, লম্বা	langer, lang				更高，矮	größer, groß						უფრო მაღალი, მაღალი	अधिक लंबा, लंबा				pi wo, wo	lebih tinggi, tinggi	выше, ниже																長身, 長身				உயரமானவர், உயரம் கொண்டவர்								ұзынырақ, ұзын	قدبلندتر، قدبلند						더 큰, 큰	wyższy, wysoki												magasabb, alacsonyabb				mais alto, alto				lebih tinggi, tinggi	daha hündürdür, hündürdür	ψηλότερος, ψηλός						વધુ લાંબો, લાંબો	tsayi, dogo	aukštesnis, aukštas						പൊക്കമുള്ളത്, പൊക്കം	अधिक उंच, उंच						ਲੰਬਾ, ਲੰਬਾ				mas matangkad, matangkad	పొడవైనవారు, పొడవు	daha uzun, uzun				cao hơn, cao								ñjool, gëna ñjool	ga-jù, ga			
